,day,hour,Close,Volume,year,month,date,compound,pos,neg,neu
118,24,20,22.925,48167848.0,2021,2,2021-02-24 20:30:00+00:00,15.987999999999998,180.13,134.41,625.47
119,25,14,31.448,75345884.0,2021,2,2021-02-25 14:30:00+00:00,30.516999999999996,204.28,161.81,623.89
120,25,15,34.4375,54951108.0,2021,2,2021-02-25 15:30:00+00:00,92.502,173.98,88.61,707.43
121,25,16,37.3013,42467624.0,2021,2,2021-02-25 16:30:00+00:00,109.6472,228.497,112.544,658.939
122,25,17,42.695,57039484.0,2021,2,2021-02-25 17:30:00+00:00,6.028200000000002,169.328,115.941,714.752
123,25,18,35.9773,53657016.0,2021,2,2021-02-25 18:30:00+00:00,169.2592,231.895,106.179,651.896
124,25,19,36.045,34837840.0,2021,2,2021-02-25 19:30:00+00:00,99.045,207.96,100.83,681.21
125,25,20,27.29,30107576.0,2021,2,2021-02-25 20:30:00+00:00,97.6087,215.579,138.319,626.112
126,26,14,30.0413,56261884.0,2021,2,2021-02-26 14:30:00+00:00,78.675,181.74,134.2,684.07
127,26,15,28.4925,21991092.0,2021,2,2021-02-26 15:30:00+00:00,130.682,176.91,81.53,701.6
128,26,16,23.2961,37381392.0,2021,2,2021-02-26 16:30:00+00:00,136.394,237.22,108.41,654.4
129,26,17,24.9098,44271316.0,2021,2,2021-02-26 17:30:00+00:00,28.03,165.84,178.52,625.67
130,26,18,25.405,22215420.0,2021,2,2021-02-26 18:30:00+00:00,193.274,247.77,104.24,638.0
131,26,19,27.3298,51174512.0,2021,2,2021-02-26 19:30:00+00:00,62.8364,181.754,111.8,686.456
132,26,20,25.4625,15326852.0,2021,2,2021-02-26 20:30:00+00:00,82.864,186.14000000000001,116.71,667.13
